"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-16","78","92","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-17","80","95","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-18","81","94","69"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-19","79","93","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-20","82","93","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-21","83","97","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-22","85","97","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-23","85","97","75"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-24","86","98","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-25","85","97","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-26","79","93","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-27","81","96","72"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-28","84","95","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-29","83","94","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-09-30","83","95","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-01","82","96","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-02","82","94","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-03","77","80","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-04","79","87","77"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-05","77","81","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-06","76","87","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-07","72","76","61"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-08","65","76","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-09","67","83","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-10-10","71","82","63"
